IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Business Status,Business Status_changes,Business Status_update,On Tribe Land,On Tribe Land_changes,On Tribe Land_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,Coordinates,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id
3048,,,FAMILY DOLLAR,812 E SD HIGHWAY 46,Correct,812 E SD HIGHWAY 46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380,,,43.08168,,,-98.30382,,,"812 E Sd Highway 46, Wagner, SD, 57380",,Correct,CHARLES MIX,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.30382 43.08168),,Yankton,Yankton Reservation,,,New Retailer,Family Dollar Stores Inc,Matthews,NC,N,2047417.0
3049,,,FAMILY DOLLAR,745 N RIVERSIDE DR STE G,Correct,745 N RIVERSIDE DR STE G,ESPANOLA,Correct,ESPANOLA,NM,Correct,NM,87532,Correct,87532,,,35.988064,,,-106.06087,,,"745 N Riverside Dr Ste G, Espanola, NM, 87532",,Correct,RIO ARRIBA,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-106.06087 35.988064),,Santa Clara,Santa Clara Pueblo,,,New Retailer,Family Dollar Stores Inc,Matthews,NC,N,1490826.0
3050,,,LOCKENS,301 MAIN ST,Correct,301 MAIN ST,ISABEL,Correct,ISABEL,SD,Correct,SD,57633,Correct,57633,,,45.394354,,,-101.429479,,,"301 Main St, Isabel, SD, 57633",,Correct,DEWEY,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-101.429479 45.394354),,Cheyenne River,Cheyenne River Reservation,,,New Retailer,Independent,,,N,651894.0
3051,,,99 CENTS ONLY STORES,8950 E INDIAN BEND RD,Correct,8950 E INDIAN BEND RD,SCOTTSDALE,Correct,SCOTTSDALE,AZ,Correct,AZ,85250,Correct,85250,,,33.53853,,,-111.866455,,,"8950 E Indian Bend Rd, Scottsdale, AZ, 85250",,Correct,MARICOPA,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-111.866455 33.53853),,Salt River,Salt River Reservation,,,New Retailer,99 Cents Only Stores,Los Angeles,CA,N,7323580.0
3052,,,DOLLAR GENERAL,801 W GRAND AVE,Correct,801 W GRAND AVE,PONCA CITY,Correct,PONCA CITY,OK,Correct,OK,74601,Correct,74601,,,36.7045346,,,-97.09362519999999,,,"801 W Grand Ave, Ponca City, OK, 74601",,Correct,KAY,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-97.09362520000001 36.7045346),,Kaw/Ponca,Kaw/Ponca joint-use OTSA,,,New Retailer,Dollar General/HQ,Goodlettsville,TN,N,953370.0
3053,,,FAMILY DOLLAR,100 MAIN ST,Correct,100 MAIN ST,SALAMANCA,Correct,SALAMANCA,NY,Correct,NY,14779,Correct,14779,,,42.15917,,,-78.71472,,,"100 Main St, Salamanca, NY, 14779",,Correct,CATTARAUGUS,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-78.71472 42.15917),,Allegany,Allegany Reservation,,,New Retailer,Family Dollar Stores Inc,Matthews,NC,N,393118.0
3054,,,DOLLAR GENERAL,239 S PARK AVE,Correct,239 S PARK AVE,LAKE ANDES,Correct,LAKE ANDES,SD,Correct,SD,57356,Correct,57356,,,43.15320850000001,,,-98.5297081,,,"239 S Park Ave, Lake Andes, SD, 57356",,Correct,CHARLES MIX,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.52970809999999 43.15320850000001),,Yankton,Yankton Reservation,,,New Retailer,Dollar General/HQ,Goodlettsville,TN,N,7471529.0
3055,,,DOLLAR GENERAL,110 N CARNEGIE ST,110 N  ST,110 N  ST,CARNEGIE,Correct,CARNEGIE,OK,Correct,OK,73015,Correct,73015,,,35.10741779999999,,,-98.60382829999999,,,"110 N Carnegie St, Carnegie, OK, 73015",,Correct,CADDO,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.6038283 35.10741779999999),,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,,New Retailer,Dollar General/HQ,Goodlettsville,TN,N,1868723.0
3056,,,FAMILY DOLLAR,1001 GODDARD AVE,Correct,1001 GODDARD AVE,IGNACIO,Correct,IGNACIO,CO,Correct,CO,81137,Correct,81137,,,37.10879620000001,,,-107.63366129999999,,,"1001 Goddard Ave, Ignacio, CO, 81137",,Correct,LA PLATA,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-107.6336613 37.10879620000001),,Southern Ute,Southern Ute Reservation,,,New Retailer,Family Dollar Stores Inc,Matthews,NC,N,7457259.0
3057,,,THREE EAGLES,66103 US HWY 2,Correct,66103 US HWY 2,ASHLAND,Correct,ASHLAND,WI,Correct,WI,54806,Correct,54806,,,46.6082993,,,-90.7985874,,,"66103 US Hwy 2, Ashland, WI, 54806",,Correct,ASHLAND,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-90.7985874 46.6082993),,Bad River,Bad River Reservation,,,New Retailer,Independent,,,N,693442.0
